id,guests,rooms,beds,baths,price,booked,available
970684050297896632?check_in=2025-01-21&check_out=2025-01-23,6,3,4,2,150.0,52,69
22888271?check_in=2025-01-21&check_out=2025-01-23,9,3,6,2.5,169.0,2,119
1110135513703793363?check_in=2025-01-21&check_out=2025-01-23,6,3,4,2,165.0,78,43
1231896843230940832?check_in=2025-01-21&check_out=2025-01-23,10,3,6,3,216.0,35,86
41321706?check_in=2025-01-21&check_out=2025-01-23,5,2,3,2,249.0,63,58
643600348857225891?check_in=2025-01-21&check_out=2025-01-23,6,2,3,1,175.0,72,49
920883851689309788?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1.5,89.0,13,108
1084369088625042054?check_in=2025-01-21&check_out=2025-01-23,8,3,5,2,190.0,46,75
12366403?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,164.0,23,98
884780424086503674?check_in=2025-01-21&check_out=2025-01-23,6,2,3,1,208.0,4,117
1203740435449720768?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,195.0,40,81
700070303185747668?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,122.0,13,108
44360311?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,95.0,40,81
564474975793932128?check_in=2025-01-21&check_out=2025-01-23,8,3,5,2.5,124.0,63,58
750727578521050369?check_in=2025-01-21&check_out=2025-01-23,6,3,4,2,188.0,84,37
1147854157004027650?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,127.0,16,105
28560439?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,166.0,45,67
943692597935651584?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,139.0,46,75
670256827188353752?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,150.0,60,61
892922556314310381?check_in=2025-01-21&check_out=2025-01-23,6,1,4,1.5,122.0,3,118
830719466682620048?check_in=2025-01-21&check_out=2025-01-23,6,2,4,2.5,115.0,91,30
836540990481113270?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,80.0,7,114
48900749?check_in=2025-01-21&check_out=2025-01-23,6,2,2,2,175.0,7,114
1035029388422670865?check_in=2025-01-21&check_out=2025-01-23,6,2,4,2,257.0,69,52
53914903?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,116.0,6,115
569753753616894236?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,76.0,77,44
32962630?check_in=2025-01-21&check_out=2025-01-23,4,2,2,2,189.0,49,72
950807785306766891?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,246.0,39,82
1028886641470173249?check_in=2025-01-21&check_out=2025-01-23,4,2,2,2.5,165.0,56,65
29480407?check_in=2025-01-21&check_out=2025-01-23,6,1,4,1,193.0,16,105
1013720576253189018?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,135.0,13,108
841620907681647945?check_in=2025-01-21&check_out=2025-01-23,6,2,5,1,186.0,0,121
33286906?check_in=2025-01-21&check_out=2025-01-23,4,1,1,2,160.0,48,73
1152247230753295185?check_in=2025-01-21&check_out=2025-01-23,5,2,3,1,64.0,29,92
664617258144362151?check_in=2025-01-21&check_out=2025-01-23,4,2,3,2,135.0,54,67
999454846661754763?check_in=2025-01-21&check_out=2025-01-23,8,3,6,2.5,172.0,59,62
905076347978642122?check_in=2025-01-21&check_out=2025-01-23,6,2,4,2,149.0,57,64
617617403059285564?check_in=2025-01-21&check_out=2025-01-23,6,2,3,1.5,153.0,30,91
721990375484817881?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,85.0,66,55
931003847261178506?check_in=2025-01-21&check_out=2025-01-23,7,3,4,2,228.0,78,43
1015343082298881688?check_in=2025-01-21&check_out=2025-01-23,8,2,4,2,131.0,43,78
1102221910434183186?check_in=2025-01-21&check_out=2025-01-23,4,2,2,2,190.0,101,20
39334309?check_in=2025-01-21&check_out=2025-01-23,2,0,1,1,143.0,26,95
863852541775356656?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2.5,144.0,85,36
920203830271548872?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,99.0,67,54
727528889684042126?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,133.0,18,103
1050208703388291494?check_in=2025-01-21&check_out=2025-01-23,4,2,3,1,199.0,12,106
719375040158698939?check_in=2025-01-21&check_out=2025-01-23,5,2,3,1,126.0,6,115
1053469550620904799?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2.5,242.0,0,121
948753092327698700?check_in=2025-01-21&check_out=2025-01-23,5,2,3,2,79.0,103,18
1054975378857337532?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,115.0,2,119
757207741703736973?check_in=2025-01-21&check_out=2025-01-23,9,3,5,3,240.0,61,60
48646508?check_in=2025-01-21&check_out=2025-01-23,5,2,2,1,170.0,4,117
774092360393769711?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,91.0,42,79
54194101?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,119.0,6,115
580540255868289982?check_in=2025-01-21&check_out=2025-01-23,7,3,4,1,120.0,29,92
560448623554082168?check_in=2025-01-21&check_out=2025-01-23,10,2,3,1,197.0,13,108
1189072753402273937?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1.5,245.0,22,99
564317554613348610?check_in=2025-01-21&check_out=2025-01-23,5,1,3,1,90.0,1,13
17810531?check_in=2025-01-21&check_out=2025-01-23,7,2,4,2,125.0,12,109
1016196206848802314?check_in=2025-01-21&check_out=2025-01-23,6,2,4,1,231.0,13,108
45007822?check_in=2025-01-21&check_out=2025-01-23,8,3,4,3,99.0,30,91
569832220134799247?check_in=2025-01-21&check_out=2025-01-23,6,1,3,2,99.0,3,118
761015321499305652?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,232.0,1,62
44292682?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,130.0,6,115
32565919?check_in=2025-01-21&check_out=2025-01-23,4,2,2,2,105.0,56,65
744312348181102085?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,145.0,5,116
1145722415133487024?check_in=2025-01-21&check_out=2025-01-23,6,1,1,1,149.0,6,115
48609516?check_in=2025-01-21&check_out=2025-01-23,6,3,0,2,95.0,28,93
961771285139642761?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,150.0,32,89
811650008107508020?check_in=2025-01-21&check_out=2025-01-23,6,3,3,2,198.0,49,72
52280250?check_in=2025-01-21&check_out=2025-01-23,8,2,4,2,225.0,21,100
852140554092729714?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,75.0,58,63
902429731161317818?check_in=2025-01-21&check_out=2025-01-23,6,2,3,1,246.0,19,102
585010917913596759?check_in=2025-01-21&check_out=2025-01-23,6,2,2,2.5,85.0,24,97
47971766?check_in=2025-01-21&check_out=2025-01-23,6,2,4,2,145.0,56,65
1013788535949251494?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,89.0,22,99
48787720?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,179.0,37,84
1156049831381307760?check_in=2025-01-21&check_out=2025-01-23,4,1,0,1,96.0,9,112
54143415?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,75.0,51,70
597813498885954661?check_in=2025-01-21&check_out=2025-01-23,7,2,2,2.5,102.0,37,84
852415105528985926?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,150.0,68,53
957054289469329670?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,128.0,55,66
52730984?check_in=2025-01-21&check_out=2025-01-23,4,2,3,1,179.0,5,116
51265097?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,80.0,14,107
40340392?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,252.0,95,26
50152865?check_in=2025-01-21&check_out=2025-01-23,5,2,3,2,160.0,2,119
43581012?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,156.0,18,103
731083397117153533?check_in=2025-01-21&check_out=2025-01-23,6,2,5,1,170.0,67,54
53661408?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,125.0,4,117
21433857?check_in=2025-01-21&check_out=2025-01-23,6,3,5,2,165.0,87,34
47857089?check_in=2025-01-21&check_out=2025-01-23,6,3,3,2,229.0,49,72
745085691391885699?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,99.0,0,121
893304292103813298?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,145.0,63,58
1092297978006577088?check_in=2025-01-21&check_out=2025-01-23,6,2,4,2,95.0,35,86
640535029384313961?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2.5,187.0,24,97
750112195337318589?check_in=2025-01-21&check_out=2025-01-23,6,2,3,1,199.0,39,82
750038824456433956?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,199.0,15,106
12692306?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,85.0,74,47
889127093466466600?check_in=2025-01-21&check_out=2025-01-23,4,1,3,1,66.0,28,93
839263475808802869?check_in=2025-01-21&check_out=2025-01-23,8,3,5,2,256.0,1,120
53610702?check_in=2025-01-21&check_out=2025-01-23,6,1,7,1.5,180.0,18,103
714918659016344050?check_in=2025-01-21&check_out=2025-01-23,8,3,4,1.5,414.0,65,56
865457400787886957?check_in=2025-01-21&check_out=2025-01-23,6,2,4,1,150.0,13,108
1155979606645573632?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,209.0,32,89
1047785478060158163?check_in=2025-01-21&check_out=2025-01-23,6,2,3,1,150.0,73,48
53414221?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,139.0,31,90
1006554576787125135?check_in=2025-01-21&check_out=2025-01-23,4,2,2,2,182.0,73,48
46959094?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,113.0,20,101
28280920?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,150.0,57,64
589275113052977250?check_in=2025-01-21&check_out=2025-01-23,6,3,3,2,179.0,48,73
