id,guests,rooms,beds,baths,price,booked,available
964706231063111544?check_in=2025-01-21&check_out=2025-01-23,5,2,3,1,115,70,51
818585274344662653?check_in=2025-01-21&check_out=2025-01-23,6,1,4,1,87,46,75
746213490059774378?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,65,33,88
1217580807458399276?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,112,14,107
28280920?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,150,57,64
895002640517576080?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,127,32,89
1250123267814066992?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,75,4,117
39106404?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,76,18,103
51125509?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,67,10,111
1100692696406670257?check_in=2025-01-21&check_out=2025-01-23,5,2,4,2,250,60,61
1239346960727048839?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,136,38,83
34868223?check_in=2025-01-21&check_out=2025-01-23,4,1,3,1,109,10,111
1266695161345280200?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,111,N/A,121
864493418016473503?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,54,22,99
39843478?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,90,37,84
1003198751831938825?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,103,109,12
1160937709150823263?check_in=2025-01-21&check_out=2025-01-23,6,3,4,2,200,25,96
670256827188353752?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,150,60,61
49044623?check_in=2025-01-21&check_out=2025-01-23,5,2,3,2,225,46,75
53791164?check_in=2025-01-21&check_out=2025-01-23,6,3,4,2,205,38,83
48348734?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,142,90,31
907892284611372795?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,74,13,108
864675550994755960?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,84,1,120
48384941?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,53,7,114
29807553?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,93,20,101
48310955?check_in=2025-01-21&check_out=2025-01-23,8,4,6,2.5,163,85,36
49270760?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,125,43,78
600836015616882812?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,85,2,119
7952529?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,75,38,83
44182703?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,77,20,101
1175214096506390664?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,89,34,87
573978491632986904?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,79,32,89
43581012?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,156,18,103
944103135286208704?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,99,20,101
21433857?check_in=2025-01-21&check_out=2025-01-23,6,3,5,2,165,87,34
957054289469329670?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,128,55,66
774092360393769711?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,91,42,79
1050208703388291494?check_in=2025-01-21&check_out=2025-01-23,4,2,3,1,199,12,109
12692306?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,85,74,47
22467452?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,55,20,101
44360311?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,95,40,81
1025676096149344135?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,148,41,80
29760773?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,195,61,60
26668572?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,75,38,83
887024707206161063?check_in=2025-01-21&check_out=2025-01-23,6,2,4,1,150,16,105
1176198809650176565?check_in=2025-01-21&check_out=2025-01-23,6,3,4,2,130,112,9
675576804843022126?check_in=2025-01-21&check_out=2025-01-23,5,1,2,1,145,14,107
1245528867890880057?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,90,19,102
52990982?check_in=2025-01-21&check_out=2025-01-23,6,1,4,1,98,72,49
746964674085811747?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,89,25,96
5003164?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,80,N/A,121
39334309?check_in=2025-01-21&check_out=2025-01-23,2,0,1,1,143,26,95
893304292103813298?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,145,63,58
710196087143900425?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,83,9,112
37455137?check_in=2025-01-21&check_out=2025-01-23,6,2,4,2,79,17,104
52864146?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,55,16,105
954581033313404750?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,67,35,86
44136429?check_in=2025-01-21&check_out=2025-01-23,7,1,4,1,99,46,75
1147854157004027650?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,127,16,105
610347338116203301?check_in=2025-01-21&check_out=2025-01-23,6,2,4,2,85,25,96
941623769837097047?check_in=2025-01-21&check_out=2025-01-23,N/A,0,1,0,55,18,103
1092789558511646856?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,65,37,84
1013788535949251494?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,89,22,99
939735386817477350?check_in=2025-01-21&check_out=2025-01-23,6,2,3,1,190,14,107
970417833614718260?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,79,1,120
780540284859039732?check_in=2025-01-21&check_out=2025-01-23,N/A,1,1,1,42,24,97
896418714414841771?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,92,6,115
896539168985991282?check_in=2025-01-21&check_out=2025-01-23,6,3,3,1,230,12,109
746310988712986512?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,85,29,92
49798196?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,156,6,115
1050031574894104287?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,93,9,112
771798331147467019?check_in=2025-01-21&check_out=2025-01-23,8,3,5,2.5,145,32,89
1076311137983043411?check_in=2025-01-21&check_out=2025-01-23,3,0,0,1,62,3,118
