id,guests,rooms,beds,baths,price,booked,available
30956956?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,47.0,8,113
46351788?check_in=2025-01-21&check_out=2025-01-23,4,1,1,1,160.0,21,100
47054765?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,106.0,31,90
1228908244292245931?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,189.0,20,101
50625335?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,100.0,41,80
911851272994562275?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,75.0,32,89
1208211333945204488?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,93.0,58,63
805644407342140397?check_in=2025-01-21&check_out=2025-01-23,7,2,3,1.5,199.0,40,81
1114446792510588077?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,70.0,41,80
816003735849900230?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,62.0,37,84
892030629304221735?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,161.0,13,108
756589674880088834?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,98.0,6,115
2221287?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,199.0,36,85
775249933780471249?check_in=2025-01-21&check_out=2025-01-23,2,0,1,1,56.0,34,87
1161199602997803719?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,200.0,19,102
1245528867890880057?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,90.0,19,102
1244255350282016633?check_in=2025-01-21&check_out=2025-01-23,12,4,6,2,400.0,40,81
902264246523920275?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,60.0,29,92
738510445777698785?check_in=2025-01-21&check_out=2025-01-23,2,1,2,1,61.0,53,68
838618983767754337?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,86.0,17,104
1148788613118325477?check_in=2025-01-21&check_out=2025-01-23,N/A,1,0,0,70.0,34,87
52289565?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,115.0,25,96
924150706031464364?check_in=2025-01-21&check_out=2025-01-23,4,1,1,1,230.0,32,89
1184015955138430317?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,111.0,3,118
832867798380423076?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,74.0,10,111
51772662?check_in=2025-01-21&check_out=2025-01-23,3,1,0,1,100.0,22,99
1014017253580245488?check_in=2025-01-21&check_out=2025-01-23,N/A,0,1,0,120.0,69,52
926061378332013527?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,135.0,40,81
968746783067247470?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,100.0,36,85
17340781?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,75.0,15,106
1146464502593760835?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,146.0,15,106
32944908?check_in=2025-01-21&check_out=2025-01-23,8,2,4,2,247.0,45,76
593432668838260763?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,55.0,64,57
911052215030276223?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,84.0,34,87
1087865161858419224?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,50.0,70,51
1184016131794126190?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,118.0,8,113
1144365803048426632?check_in=2025-01-21&check_out=2025-01-23,2,1,0,1,90.0,N/A,121
643414781190940630?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,147.0,17,104
26187376?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,100.0,N/A,121
642949811723404834?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,105.0,67,54
1040654921585874360?check_in=2025-01-21&check_out=2025-01-23,N/A,0,1,0,120.0,32,89
9712292?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,87.0,96,25
46354212?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,104.0,82,39
1047256700006362148?check_in=2025-01-21&check_out=2025-01-23,3,1,3,1,72.0,35,86
23688550?check_in=2025-01-21&check_out=2025-01-23,6,2,5,1,115.0,53,68
882279243869208009?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,167.0,71,50
1268916841787737457?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,80.0,N/A,121
552831566159134661?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,82.0,35,86
18508330?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,60.0,6,115
1267671436411580509?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,40.0,13,108
2228307?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,219.0,38,83
888433977529325192?check_in=2025-01-21&check_out=2025-01-23,6,2,4,1,149.0,71,50
563704180806926001?check_in=2025-01-21&check_out=2025-01-23,4,1,2,0,103.0,16,105
1246570?check_in=2025-01-21&check_out=2025-01-23,N/A,0,2,0,57.0,2,119
14740095?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,130.0,53,68
738946838707065815?check_in=2025-01-21&check_out=2025-01-23,4,1,3,1,88.0,N/A,121
763698739336949415?check_in=2025-01-21&check_out=2025-01-23,4,2,1,3,100.0,64,57
1063719854499142339?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,120.0,13,108
781896106635940451?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,62.0,N/A,121
1260843253608107085?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,48.0,17,104
39045286?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,168.0,37,84
764679977901515009?check_in=2025-01-21&check_out=2025-01-23,5,2,2,2,343.0,46,75
1216909660106460467?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,254.0,24,97
939334281967290113?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,85.0,30,91
53585332?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,103.0,7,114
1254322374793846331?check_in=2025-01-21&check_out=2025-01-23,16+,6,11,3.5,333.0,26,95
1211111233199304510?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,70.0,83,38
1238498169039239011?check_in=2025-01-21&check_out=2025-01-23,4,1,0,1,119.0,3,118
6775797?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,85.0,5,116
944276199022643787?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1.5,165.0,26,95
35124632?check_in=2025-01-21&check_out=2025-01-23,2,1,2,1,75.0,60,61
849234751416654555?check_in=2025-01-21&check_out=2025-01-23,2,1,0,1,85.0,8,113
696984405841936580?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,220.0,19,102
1255698790722910133?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,99.0,4,117
1001014318747932064?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,87.0,5,116
795491282923119112?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,120.0,18,103
49516105?check_in=2025-01-21&check_out=2025-01-23,4,2,2,2,155.0,15,106
805232284083540457?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,205.0,30,91
1192006415436375042?check_in=2025-01-21&check_out=2025-01-23,12,4,7,2,242.0,43,78
1035056824857742962?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,124.0,52,69
739913589000352379?check_in=2025-01-21&check_out=2025-01-23,6,1,4,1,88.0,2,119
25783061?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,60.0,11,110
1081157975355801172?check_in=2025-01-21&check_out=2025-01-23,5,1,2,1,137.0,N/A,121
46063394?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,135.0,8,113
1265268207211054532?check_in=2025-01-21&check_out=2025-01-23,16+,6,11,5,730.0,35,86
771687917813036285?check_in=2025-01-21&check_out=2025-01-23,2,1,2,1,100.0,20,101
656357029103076022?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,149.0,23,98
996294665596365931?check_in=2025-01-21&check_out=2025-01-23,12,5,9,4,475.0,42,79
14710144?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,85.0,9,112
13449365?check_in=2025-01-21&check_out=2025-01-23,8,2,4,2,303.0,45,76
734015467958134028?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,100.0,16,105
681040432325929203?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,104.0,12,109
