id,guests,rooms,beds,baths,price,booked,available
907876309504076995?check_in=2025-01-21&check_out=2025-01-23,7,2,4,2.5,123,13,108
47859194?check_in=2025-01-21&check_out=2025-01-23,8,3,3,2.5,135,48,73
769850871063724131?check_in=2025-01-21&check_out=2025-01-23,9,3,5,2,129,6,115
1253238397828811411?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,95,2,119
1003872878486964186?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,159,N/A,121
643434904679363963?check_in=2025-01-21&check_out=2025-01-23,5,1,4,2,145,32,89
1242873983699321805?check_in=2025-01-21&check_out=2025-01-23,8,2,4,1,79,N/A,121
1047314043463204720?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,159,41,80
53654667?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,83,6,115
23712598?check_in=2025-01-21&check_out=2025-01-23,5,2,3,1,78,52,69
852337824754433146?check_in=2025-01-21&check_out=2025-01-23,8,2,3,1,115,27,94
802994878918416499?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,99,8,113
642949811723404834?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,105,67,54
989347301713653987?check_in=2025-01-21&check_out=2025-01-23,8,3,6,2,119,22,99
1011015839826454660?check_in=2025-01-21&check_out=2025-01-23,8,4,4,2,149,24,97
47384950?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,160,N/A,121
1226893657935061012?check_in=2025-01-21&check_out=2025-01-23,6,3,4,2.5,150,10,111
43602517?check_in=2025-01-21&check_out=2025-01-23,6,2,3,1,140,30,91
51321881?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1.5,110,2,119
607754483191630213?check_in=2025-01-21&check_out=2025-01-23,6,3,4,2,131,54,67
965290926894650091?check_in=2025-01-21&check_out=2025-01-23,4,1,1,1,115,65,56
1027897452471686756?check_in=2025-01-21&check_out=2025-01-23,6,3,3,2,149,92,29
44780300?check_in=2025-01-21&check_out=2025-01-23,4,1,3,1,109,18,103
1082125073433632285?check_in=2025-01-21&check_out=2025-01-23,7,3,3,2,145,78,43
42680597?check_in=2025-01-21&check_out=2025-01-23,6,2,3,1,155,65,56
52878196?check_in=2025-01-21&check_out=2025-01-23,10,2,9,2,110,16,105
42333590?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,137,15,106
1201617725504702508?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,164,6,115
932753377085805130?check_in=2025-01-21&check_out=2025-01-23,6,2,4,2,79,60,61
1224296120775052085?check_in=2025-01-21&check_out=2025-01-23,4,1,1,1,124,14,107
28694342?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,110,32,89
50623322?check_in=2025-01-21&check_out=2025-01-23,5,1,4,1.5,86,10,111
792690745412103463?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,116,29,92
1121144443242238996?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,175,25,96
42771204?check_in=2025-01-21&check_out=2025-01-23,4,1,1,1,102,N/A,121
1142648684174667356?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,173,6,115
936398463939756683?check_in=2025-01-21&check_out=2025-01-23,6,3,3,2,227,16,105
25968757?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,60,3,118
9712292?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,87,96,25
995895488476579816?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,187,2,119
964499563151103850?check_in=2025-01-21&check_out=2025-01-23,6,1,3,1,140,58,63
1224739158446725647?check_in=2025-01-21&check_out=2025-01-23,16+,8,10,5,134,94,27
52809959?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,65,4,117
17209274?check_in=2025-01-21&check_out=2025-01-23,4,2,2,2,110,13,108
1114039221990363733?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,90,13,108
1121950693553862576?check_in=2025-01-21&check_out=2025-01-23,8,3,6,2,125,56,65
938475863186324356?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,99,24,97
1084861875293786828?check_in=2025-01-21&check_out=2025-01-23,N/A,0,1,0,85,N/A,121
764679977901515009?check_in=2025-01-21&check_out=2025-01-23,5,2,2,2,343,46,75
651344706382299556?check_in=2025-01-21&check_out=2025-01-23,8,2,4,1,155,4,117
45574807?check_in=2025-01-21&check_out=2025-01-23,5,1,3,1,89,57,64
48738950?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,59,2,119
1194862700904879252?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,90,N/A,121
45439405?check_in=2025-01-21&check_out=2025-01-23,2,1,2,1,110,26,95
978269213294618973?check_in=2025-01-21&check_out=2025-01-23,8,4,4,3,157,3,118
1202443631440969343?check_in=2025-01-21&check_out=2025-01-23,8,3,4,2,325,34,87
1163825339721629511?check_in=2025-01-21&check_out=2025-01-23,6,3,4,2,135,N/A,121
19246650?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,177,27,94
623887916834594596?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,98,6,115
44521553?check_in=2025-01-21&check_out=2025-01-23,7,3,4,2,130,17,104
42179208?check_in=2025-01-21&check_out=2025-01-23,8,3,4,2,120,3,118
892888851223754121?check_in=2025-01-21&check_out=2025-01-23,6,3,4,2,245,4,117
13751760?check_in=2025-01-21&check_out=2025-01-23,4,1,4,1,78,4,117
1210259041734687843?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,89,53,68
1212677870666591658?check_in=2025-01-21&check_out=2025-01-23,8,3,4,2,170,14,107
781347069877572594?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,77,1,120
583491051114900111?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,64,39,82
1176198809650176565?check_in=2025-01-21&check_out=2025-01-23,6,3,4,2,130,112,9
1093531053084108863?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,85,N/A,121
13479906?check_in=2025-01-21&check_out=2025-01-23,6,1,4,1,111,9,112
851553256248217330?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,109,52,69
663846121098244135?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,72,7,114
1059752041192437572?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,96,66,55
644854481968200576?check_in=2025-01-21&check_out=2025-01-23,11,4,7,3,169,82,39
977920382582957168?check_in=2025-01-21&check_out=2025-01-23,8,2,4,2,209,N/A,121
1113164533390006899?check_in=2025-01-21&check_out=2025-01-23,N/A,0,1,0,50,31,90
17904841?check_in=2025-01-21&check_out=2025-01-23,16+,7,11,4.5,266,79,42
48157231?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,111,49,72
1211493342788535036?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,54,N/A,121
598483634077202426?check_in=2025-01-21&check_out=2025-01-23,16+,4,8,3.5,246,42,79
1218377844110676940?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,119,41,80
1265312691100796480?check_in=2025-01-21&check_out=2025-01-23,10,3,4,3,135,21,100
815938367717852792?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2.5,100,1,120
5306888?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,95,77,44
944152738248653533?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,80,13,108
30742906?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,199,26,95
935362993701541580?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,134,30,91
1047371555399545120?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,74,3,118
1227591509974801125?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,90,24,97
1065977465153906888?check_in=2025-01-21&check_out=2025-01-23,6,3,5,2,126,1,120
35736419?check_in=2025-01-21&check_out=2025-01-23,6,3,2,2,110,N/A,121
53595303?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1.5,101,66,55
33611573?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,219,4,117
1142901953769505128?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,105,24,97
753859364659976822?check_in=2025-01-21&check_out=2025-01-23,6,3,4,1,139,17,104
1213035678653075722?check_in=2025-01-21&check_out=2025-01-23,10,3,5,2,179,50,71
974139343840971468?check_in=2025-01-21&check_out=2025-01-23,2,1,0,1,69,1,120
54180291?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,59,74,47
