id,guests,rooms,beds,baths,price,booked,available
1146418547590358383?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
565447897390580009?check_in=2025-01-21&check_out=2025-01-23,5,2,3,2,,,
32196815?check_in=2025-01-21&check_out=2025-01-23,6,2,4,1,,,
705858?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
764715643515824721?check_in=2025-01-21&check_out=2025-01-23,2,1,2,1,,,
921781119045609911?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
1221055040254927567?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
19636445?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1.5,,,
722312374563302346?check_in=2025-01-21&check_out=2025-01-23,12,2,6,2,,,
50616292?check_in=2025-01-21&check_out=2025-01-23,6,1,5,1,,,
52773575?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
702109142303721895?check_in=2025-01-21&check_out=2025-01-23,4,2,3,1,,,
50612670?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
862928467252556401?check_in=2025-01-21&check_out=2025-01-23,4,2,4,1.5,,,
915468933529273541?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
734874770735339556?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,,,
33743431?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
607281732021915605?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
1014463565815278672?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
857874877596417195?check_in=2025-01-21&check_out=2025-01-23,8,3,5,1.5,,,
45225882?check_in=2025-01-21&check_out=2025-01-23,6,2,3,1.5,,,
8032949?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
1236269120653749234?check_in=2025-01-21&check_out=2025-01-23,2,0,1,1,,,
940511451549845766?check_in=2025-01-21&check_out=2025-01-23,6,2,3,1.5,,,
1105780877241255311?check_in=2025-01-21&check_out=2025-01-23,4,2,3,1,,,
1092163260528521990?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,,,
1253871756114915237?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
872636803124687822?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,,,
927492986063904786?check_in=2025-01-21&check_out=2025-01-23,6,2,2,1,,,
892854944447545003?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,,,
22402998?check_in=2025-01-21&check_out=2025-01-23,8,3,4,2,,,
587890475297600186?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,,,
