id,guests,rooms,beds,baths,price,booked,available
1049304623934401046?check_in=2025-01-21&check_out=2025-01-23,8,3,5,2,216,49,72
37057205?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,59,27,94
784087134430120603?check_in=2025-01-21&check_out=2025-01-23,6,3,3,2,99,4,117
752894789178084773?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,122,37,84
1177697567610211862?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,80,N/A,121
47769403?check_in=2025-01-21&check_out=2025-01-23,6,3,3,2,165,1,120
1016805862388896124?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,60,25,96
407683?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,195,38,83
44342151?check_in=2025-01-21&check_out=2025-01-23,4,1,1,1,99,23,98
53592233?check_in=2025-01-21&check_out=2025-01-23,8,2,4,2,122,15,106
1245659232115264472?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,125,N/A,121
1014463565815278672?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,150,10,111
52140397?check_in=2025-01-21&check_out=2025-01-23,7,2,5,1.5,239,10,111
37686971?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,173,6,115
1035411406416450936?check_in=2025-01-21&check_out=2025-01-23,2,1,1,2,135,64,57
18546204?check_in=2025-01-21&check_out=2025-01-23,4,2,3,1,227,24,97
1146569161203884510?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,67,15,106
50612670?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,129,10,111
1161751268255165150?check_in=2025-01-21&check_out=2025-01-23,8,2,6,1.5,250,4,117
1031190271021263899?check_in=2025-01-21&check_out=2025-01-23,2,1,1,5,57,5,116
1028782619864150843?check_in=2025-01-21&check_out=2025-01-23,4,2,3,1,87,17,104
30902234?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,97,32,89
1200989828319623790?check_in=2025-01-21&check_out=2025-01-23,10,4,8,3.5,169,43,78
16602607?check_in=2025-01-21&check_out=2025-01-23,6,2,3,1,165,35,86
1264637098468413816?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,75,2,119
752145095841272769?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,91,19,102
1026237413028102090?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1,110,5,116
816708128853349325?check_in=2025-01-21&check_out=2025-01-23,4,2,2,2.5,239,5,116
36423226?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,95,14,107
33743430?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,88,5,116
20977909?check_in=2025-01-21&check_out=2025-01-23,4,1,1,2,92,17,104
888598890925470400?check_in=2025-01-21&check_out=2025-01-23,8,3,6,2,275,31,90
51521952?check_in=2025-01-21&check_out=2025-01-23,4,3,4,2,115,43,78
1224914710765367644?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,70,8,113
958695027406640407?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,99,4,117
43355399?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,140,19,102
30322944?check_in=2025-01-21&check_out=2025-01-23,2,0,1,1,93,N/A,121
1064578749578993861?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,141,4,117
43941580?check_in=2025-01-21&check_out=2025-01-23,5,2,3,1,145,2,119
48750488?check_in=2025-01-21&check_out=2025-01-23,6,1,4,1,140,1,120
1129897148188317901?check_in=2025-01-21&check_out=2025-01-23,8,3,3,2,131,N/A,121
687040420609837098?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,94,6,115
49797626?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,250,1,120
52528298?check_in=2025-01-21&check_out=2025-01-23,8,3,4,2,226,9,112
565447897390580009?check_in=2025-01-21&check_out=2025-01-23,5,2,3,2,116,15,106
50089237?check_in=2025-01-21&check_out=2025-01-23,6,2,2,1.5,121,5,116
872636803124687822?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,65,19,102
48439635?check_in=2025-01-21&check_out=2025-01-23,6,2,2,1,50,9,112
54183892?check_in=2025-01-21&check_out=2025-01-23,8,3,5,2,79,17,104
957433889928063860?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,399,17,104
52442131?check_in=2025-01-21&check_out=2025-01-23,6,2,6,1,175,39,82
1124535?check_in=2025-01-21&check_out=2025-01-23,3,1,2,1,75,4,117
1090824785631123032?check_in=2025-01-21&check_out=2025-01-23,8,4,4,2.5,113,52,69
1111141840532982291?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,133,12,109
910037133373532326?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,199,15,106
1203874713115821477?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,99,12,109
51672447?check_in=2025-01-21&check_out=2025-01-23,3,2,2,1,100,48,73
1171288780797108678?check_in=2025-01-21&check_out=2025-01-23,2,1,0,1,120,7,114
1044910706836644912?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,299,14,39
42066018?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1.5,120,2,119
917291309761473926?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,151,26,95
32521360?check_in=2025-01-21&check_out=2025-01-23,8,2,5,2,83,37,84
53585649?check_in=2025-01-21&check_out=2025-01-23,4,1,1,0,62,11,110
44488756?check_in=2025-01-21&check_out=2025-01-23,5,1,2,1,93,5,116
50683253?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,198,20,101
28611640?check_in=2025-01-21&check_out=2025-01-23,3,2,2,1,225,5,116
857874877596417195?check_in=2025-01-21&check_out=2025-01-23,8,3,5,1.5,160,25,96
1052126117647206513?check_in=2025-01-21&check_out=2025-01-23,8,3,4,2,252,21,100
940864365399781595?check_in=2025-01-21&check_out=2025-01-23,6,3,3,2,175,6,115
52317949?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,159,7,114
968073863863176921?check_in=2025-01-21&check_out=2025-01-23,12,3,8,3,250,17,104
1127860565572358391?check_in=2025-01-21&check_out=2025-01-23,2,1,2,1,233,2,119
940511451549845766?check_in=2025-01-21&check_out=2025-01-23,6,2,3,1.5,103,13,108
1089343361705282771?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1.5,95,17,104
764715643515824721?check_in=2025-01-21&check_out=2025-01-23,2,1,2,1,110,7,114
1036326183154202105?check_in=2025-01-21&check_out=2025-01-23,5,2,3,2,102,5,116
33743477?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,88,7,114
1245090061157458527?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,95,17,104
21975085?check_in=2025-01-21&check_out=2025-01-23,8,4,4,1,85,9,112
576989337528051108?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,78,50,71
606214176557367560?check_in=2025-01-21&check_out=2025-01-23,4,1,1,1,99,15,106
892854944447545003?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,137,1,120
562893803872808288?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,105,1,120
33743431?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,88,10,111
19636445?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1.5,62,36,85
764693818041651905?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,300,3,118
20885042?check_in=2025-01-21&check_out=2025-01-23,4,1,3,1,199,27,94
917520030021481291?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,90,3,118
947697430691126334?check_in=2025-01-21&check_out=2025-01-23,10,4,6,3,170,41,80
1083308991986390521?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,50,6,115
45879966?check_in=2025-01-21&check_out=2025-01-23,4,1,1,1,93,23,98
4663560?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,179,43,78
32196815?check_in=2025-01-21&check_out=2025-01-23,6,2,4,1,99,2,119
907874017158054205?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,200,4,117
1209382334967286140?check_in=2025-01-21&check_out=2025-01-23,4,0,2,1,250,21,100
50832605?check_in=2025-01-21&check_out=2025-01-23,4,1,1,1,94,5,116
921781119045609911?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,87,27,94
898015215487692302?check_in=2025-01-21&check_out=2025-01-23,4,1,4,1,64,6,115
34689819?check_in=2025-01-21&check_out=2025-01-23,6,2,5,1,105,23,98
1064353133362482631?check_in=2025-01-21&check_out=2025-01-23,2,1,0,1,189,15,106
30391920?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,85,9,112
834895890107711194?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,116,6,115
778503330073089857?check_in=2025-01-21&check_out=2025-01-23,6,2,3,2,160,16,105
1142860472426084462?check_in=2025-01-21&check_out=2025-01-23,3,1,1,1.5,150,50,71
43701801?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,101,27,94
48765553?check_in=2025-01-21&check_out=2025-01-23,4,2,2,1,365,2,119
1121769564222602841?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,90,62,59
806596469994052128?check_in=2025-01-21&check_out=2025-01-23,13,3,7,2.5,305,4,117
770424879028605596?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,103,11,110
1221055040254927567?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,55,27,94
39360141?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,89,5,116
40117162?check_in=2025-01-21&check_out=2025-01-23,4,1,3,1,77,27,94
1181356680773581127?check_in=2025-01-21&check_out=2025-01-23,6,1,3,1,158,2,119
559456155267717800?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,65,3,118
28045242?check_in=2025-01-21&check_out=2025-01-23,4,2,2,2,215,17,104
1177743732237102725?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1.5,150,14,107
33267440?check_in=2025-01-21&check_out=2025-01-23,9,4,5,4.5,130,22,99
27311639?check_in=2025-01-21&check_out=2025-01-23,5,1,2,1,89,4,117
54351776?check_in=2025-01-21&check_out=2025-01-23,4,2,2,2,95,6,115
1213513100949985533?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,150,10,111
577410?check_in=2025-01-21&check_out=2025-01-23,2,1,1,1,155,14,107
38458989?check_in=2025-01-21&check_out=2025-01-23,4,1,2,1,155,29,92
1236269120653749234?check_in=2025-01-21&check_out=2025-01-23,2,0,1,1,99,N/A,121
583174107602655347?check_in=2025-01-21&check_out=2025-01-23,5,3,4,1,199,8,113
